'id'|'module'|'picksrc'|'pickdest'|'picksrc_id'|'pickdest_ids'
'281'|'Accounts'|'account_client_type'|'account_main_activity'|'UTILIZZATORE'|'["COPERTURE","GAZEBI E PERGOLE","TERRAZZE E FACCIATE","IMPRESA EDILE","RIVENDITORE DI LEGNAME \/ SEGHERIA","IMMOBILIARE","GENERAL CONTRACTOR","FALEGNAME","PAVIMENTISTA","LATTONIERE","CONCIATETTO","ELETTROMEC","NOLEGGI","INDEXTRALEGNO","CARPMET","IMPEDILE","LATTONERIA","IMPERM","AMIANTO","IMPIANTISTI","MONTANTICAD","AMMINISTRCOND","EILDENOTETTI","CARTONG","COOPERAT"]'
'282'|'Accounts'|'account_client_type'|'account_main_activity'|'RIVENDITORE'|'["FERRAMSPEC","FERRAMGEN","GROSSISTA","RIVELEGNAME","RIVEMATED","GRUPPIACQ","GDO","GARDEN","CONAGR","RIVENDITORE MACCHINE LEGNO","RIVEANTICAD"]'
'283'|'Accounts'|'account_client_type'|'account_main_activity'|'PROGETTISTA'|'["PROGANTICAD","RESPSICUR","ING.","ARCH.","GEOM."]'
'284'|'Accounts'|'account_client_type'|'account_main_activity'|'INFLUENZATORE'|'["CLIFINALE","PRIVATI","UNIVERSITA","SCUOLEPROF","ENTEPUBB","ORDINI DI CATEGORIA","ASSOCIAZIONE"]'


account_main_activity
